Price,Airline_encoded,Source_encoded,Additional_Info_encoded,Destination_encoded,Total_Stops_encoded,Month,Day,Dep_Hour,dep_day_encoded,DayOfWeek_encoded,Dep_Day_encoded,Duration_Minutes,Route1_encoded,Route2_encoded,Route3_encoded,Route4_encoded,Route5_encoded,Route6_encoded
6528,1,3,8,0,2.0,5,12,14,0,3,0,1440,2,33,3,13,5,1
6121,1,0,8,2,0.0,5,1,6,2,6,2,165,0,13,29,13,5,1
13029,4,2,5,1,1.0,5,18,19,1,2,1,535,3,28,4,5,5,1
11421,6,2,8,1,2.0,3,27,11,2,6,2,430,3,7,6,13,5,1
7574,6,2,8,1,2.0,3,27,4,3,6,3,870,3,7,6,13,5,1
11596,1,2,8,1,1.0,5,9,12,0,4,0,1820,3,29,4,5,5,1
15129,4,2,8,1,1.0,5,24,23,3,0,3,1195,3,0,4,5,5,1
13555,4,0,8,5,2.0,3,18,14,0,1,0,900,0,7,8,13,5,1
5780,3,0,8,2,0.0,4,12,18,1,0,1,175,0,13,29,13,5,1
9397,10,3,8,0,2.0,5,12,20,1,3,1,765,2,14,3,13,5,1
17024,4,2,8,1,2.0,3,6,18,1,6,1,610,3,7,6,13,5,1
5281,2,2,8,1,2.0,6,27,7,2,4,2,355,3,7,6,13,5,1
10348,6,2,8,1,2.0,5,18,7,2,2,2,925,3,20,6,13,5,1
12677,1,2,8,1,2.0,3,6,17,1,6,1,965,3,33,6,13,5,1
15147,6,2,8,1,2.0,3,3,15,0,3,0,610,3,7,6,13,5,1
4668,10,0,8,2,0.0,6,12,7,2,6,2,160,0,13,29,13,5,1
15554,4,2,8,1,2.0,5,9,7,2,4,2,715,3,7,6,13,5,1
3971,8,0,8,2,0.0,4,9,5,2,5,2,160,0,13,29,13,5,1
3100,1,4,8,3,0.0,5,3,15,0,0,0,85,1,19,29,13,5,1
9663,4,3,5,0,2.0,5,6,20,1,1,1,845,2,7,3,13,5,1
27430,1,2,8,1,2.0,3,1,23,3,0,3,1215,3,7,6,13,5,1
3540,3,1,8,4,0.0,5,12,5,2,3,2,145,4,8,29,13,5,1
10676,1,3,8,0,1.0,5,21,12,0,5,0,1390,2,2,4,3,5,1
13044,4,3,8,0,2.0,6,12,14,0,6,0,1090,2,7,3,13,5,1
14388,4,3,8,0,2.0,5,6,20,1,1,1,960,2,7,3,13,5,1
3943,3,0,8,2,0.0,6,24,4,3,1,3,170,0,13,29,13,5,1
3597,3,1,8,4,0.0,6,3,14,0,1,0,140,4,8,29,13,5,1
5932,1,0,8,5,2.0,3,21,11,2,4,2,480,0,33,8,13,5,1
10262,4,2,5,1,2.0,6,15,11,2,2,2,1015,3,7,6,13,5,1
6216,10,2,8,1,0.0,5,12,14,0,3,0,190,3,10,29,13,5,1
4804,3,3,8,0,0.0,6,15,20,1,2,1,165,2,5,29,13,5,1
14067,6,2,8,1,2.0,5,21,11,2,5,2,840,3,7,6,13,5,1
15129,4,2,8,1,1.0,5,18,19,1,2,1,1430,3,0,4,5,5,1
13376,4,2,8,1,1.0,6,6,6,2,4,2,1300,3,34,4,5,5,1
10441,1,2,8,1,1.0,6,27,22,3,4,3,1275,3,16,4,5,5,1
4030,4,0,5,2,0.0,5,24,6,2,0,2,165,0,13,29,13,5,1
17024,4,2,8,1,2.0,3,3,8,2,3,2,650,3,7,6,13,5,1
13017,6,2,8,1,2.0,4,9,17,1,5,1,480,3,7,6,13,5,1
6686,2,3,8,0,2.0,6,6,23,3,4,3,495,2,7,3,13,5,1
5636,3,2,8,1,2.0,6,15,2,3,2,3,325,3,33,6,13,5,1
6442,3,2,8,1,2.0,6,9,7,2,3,2,515,3,20,6,13,5,1
9486,6,2,8,1,2.0,5,21,13,0,5,0,710,3,20,6,13,5,1
10844,4,3,5,0,2.0,5,21,20,1,5,1,1655,2,7,3,13,5,1
15318,4,2,5,1,1.0,6,3,20,1,1,1,505,3,1,4,5,5,1
5117,1,2,8,1,2.0,4,3,12,0,6,0,1255,3,33,6,13,5,1
6147,3,2,8,1,2.0,6,24,15,0,1,0,290,3,6,6,13,5,1
7005,6,2,8,1,2.0,6,9,12,0,3,0,490,3,7,6,13,5,1
3873,8,3,8,0,0.0,4,3,22,3,6,3,140,2,5,29,13,5,1
9270,4,2,5,1,1.0,3,21,18,1,4,1,1465,3,3,4,5,5,1
3898,2,0,8,2,0.0,6,27,11,2,4,2,170,0,13,29,13,5,1
14781,4,3,8,0,2.0,5,12,8,2,3,2,740,2,7,3,13,5,1
8586,4,3,5,0,2.0,5,24,20,1,0,1,735,2,7,3,13,5,1
10697,1,3,8,0,1.0,5,9,8,2,4,2,1415,2,28,4,3,5,1
14300,4,2,8,1,1.0,6,27,20,1,4,1,995,3,1,4,5,5,1
8855,3,0,8,5,0.0,3,3,18,1,3,1,170,0,13,29,13,5,1
10844,4,3,5,0,2.0,5,12,16,1,3,1,1545,2,7,3,13,5,1
17024,4,2,8,1,2.0,3,6,2,3,6,3,1570,3,7,6,13,5,1
9314,4,3,5,0,2.0,5,1,9,2,6,2,1730,2,14,3,13,5,1
4777,3,0,8,5,0.0,3,24,0,3,3,3,165,0,13,29,13,5,1
7662,1,3,8,0,2.0,6,9,12,0,3,0,1515,2,2,3,13,5,1
6442,3,2,8,1,2.0,5,9,6,2,4,2,560,3,20,6,13,5,1
5264,8,2,8,1,2.0,6,12,8,2,6,2,270,3,37,6,13,5,1
12898,4,2,5,1,2.0,5,27,13,0,1,0,925,3,7,6,13,5,1
6092,1,4,8,3,0.0,3,3,13,0,3,0,90,1,19,29,13,5,1
3311,8,0,8,2,0.0,5,21,5,2,5,2,160,0,13,29,13,5,1
6540,4,2,5,1,2.0,3,27,19,1,6,1,550,3,7,6,13,5,1
3419,3,0,8,2,0.0,5,27,1,3,1,3,165,0,13,29,13,5,1
5177,4,2,5,1,2.0,4,3,14,0,6,0,1355,3,7,6,13,5,1
8246,1,2,8,1,0.0,4,18,18,1,4,1,185,3,10,29,13,5,1
14676,4,3,8,0,2.0,6,9,9,2,3,2,690,2,14,3,13,5,1
13587,6,2,8,1,2.0,6,27,11,2,4,2,570,3,7,6,13,5,1
9663,4,3,5,0,2.0,5,6,21,3,1,3,730,2,7,3,13,5,1
13044,4,3,8,0,2.0,6,12,16,1,6,1,1055,2,7,3,13,5,1
5073,3,2,8,1,2.0,4,3,20,1,6,1,305,3,7,6,13,5,1
9345,10,3,8,0,2.0,5,21,17,1,5,1,1550,2,14,3,13,5,1
9663,4,3,5,0,2.0,5,6,14,0,1,0,1200,2,7,3,13,5,1
14277,6,2,8,1,2.0,5,21,8,2,5,2,780,3,7,6,13,5,1
10262,4,2,5,1,2.0,6,1,10,2,2,2,1105,3,7,6,13,5,1
5678,4,4,8,3,0.0,3,27,19,1,6,1,90,1,19,29,13,5,1
13727,6,2,8,1,2.0,5,15,16,1,6,1,570,3,7,6,13,5,1
9663,4,3,5,0,2.0,5,6,20,1,1,1,960,2,7,3,13,5,1
3858,3,1,8,4,0.0,5,12,14,0,3,0,140,4,8,29,13,5,1
4812,8,2,8,1,2.0,6,24,8,2,1,2,270,3,37,6,13,5,1
5775,3,2,8,1,2.0,6,27,21,3,4,3,345,3,32,6,13,5,1
10539,4,3,5,0,2.0,6,6,9,2,4,2,1450,2,14,3,13,5,1
4804,3,3,8,0,0.0,6,3,15,0,1,0,155,2,5,29,13,5,1
3383,0,0,8,2,0.0,6,12,11,2,6,2,165,0,13,29,13,5,1
8738,3,0,8,5,2.0,3,3,12,0,3,0,295,0,20,8,13,5,1
7165,1,2,8,1,2.0,3,27,5,2,6,2,1535,3,40,6,13,5,1
6412,3,2,8,1,2.0,6,24,16,1,1,1,380,3,20,6,13,5,1
8016,4,0,8,2,0.0,6,27,18,1,4,1,185,0,13,29,13,5,1
11087,4,0,5,5,2.0,3,12,20,1,5,1,1120,0,7,8,13,5,1
3543,8,1,7,4,0.0,6,27,9,2,4,2,135,4,8,29,13,5,1
12471,4,3,8,0,2.0,6,12,16,1,6,1,730,2,7,3,13,5,1
10262,4,2,5,1,2.0,6,24,9,2,1,2,1165,3,7,6,13,5,1
4441,1,0,8,5,0.0,3,18,13,0,1,0,170,0,13,29,13,5,1
12537,6,2,8,1,2.0,3,27,7,2,6,2,505,3,7,6,13,5,1
10091,2,3,8,0,2.0,3,24,22,3,3,3,555,2,7,3,13,5,1
6961,1,0,8,2,0.0,6,3,21,3,1,3,170,0,13,29,13,5,1
5013,3,2,8,1,0.0,4,24,5,2,6,2,195,3,10,29,13,5,1
6934,1,2,8,1,0.0,5,18,5,2,2,2,170,3,10,29,13,5,1
10877,6,2,8,1,2.0,6,3,6,2,1,2,740,3,7,6,13,5,1
7229,4,0,8,2,0.0,4,18,15,0,4,0,175,0,13,29,13,5,1
7048,3,2,8,1,2.0,3,27,16,1,6,1,575,3,7,6,13,5,1
4878,10,0,8,2,0.0,6,27,17,1,4,1,155,0,13,29,13,5,1
10844,4,3,5,0,2.0,5,21,14,0,5,0,570,2,7,3,13,5,1
15129,4,2,8,1,1.0,5,18,23,3,2,3,1760,3,0,4,5,5,1
3943,3,0,8,2,0.0,5,12,0,3,3,3,175,0,13,29,13,5,1
5583,8,2,8,1,2.0,6,6,6,2,4,2,315,3,33,6,13,5,1
9646,6,2,8,1,2.0,6,6,7,2,4,2,545,3,20,6,13,5,1
7677,6,2,8,1,2.0,6,3,8,2,1,2,645,3,7,6,13,5,1
6842,3,2,8,1,2.0,6,1,5,2,2,2,295,3,6,6,13,5,1
4995,4,4,5,3,0.0,6,24,8,2,1,2,90,1,19,29,13,5,1
9555,10,3,8,0,2.0,6,9,7,2,3,2,700,2,14,3,13,5,1
4077,3,0,8,2,0.0,6,1,1,3,2,3,165,0,13,29,13,5,1
7229,4,0,8,2,0.0,5,12,15,0,3,0,175,0,13,29,13,5,1
12192,6,2,8,1,2.0,6,9,9,2,3,2,600,3,7,6,13,5,1
5911,1,0,8,2,0.0,4,12,10,2,0,2,165,0,13,29,13,5,1
8372,1,2,8,1,2.0,6,12,9,2,6,2,615,3,7,6,13,5,1
4995,4,4,5,3,0.0,3,18,7,2,1,2,85,1,19,29,13,5,1
14323,6,2,8,1,2.0,5,9,10,2,4,2,555,3,7,6,13,5,1
13014,4,2,8,1,1.0,6,9,5,2,3,2,1375,3,28,4,5,5,1
13591,1,2,8,1,1.0,6,6,14,0,4,0,1730,3,9,4,5,5,1
18799,4,2,8,1,1.0,3,3,5,2,3,2,2245,3,21,4,5,5,1
3943,3,0,8,2,0.0,4,27,23,3,2,3,170,0,13,29,13,5,1
1965,8,4,7,3,0.0,5,21,5,2,5,2,90,1,19,29,13,5,1
4995,4,4,5,3,0.0,5,27,10,2,1,2,90,1,19,29,13,5,1
14641,1,3,8,0,2.0,3,24,16,1,3,1,1540,2,7,3,13,5,1
4460,1,3,8,0,0.0,4,12,20,1,0,1,155,2,5,29,13,5,1
10191,1,2,8,1,2.0,5,18,13,0,2,0,375,3,7,6,13,5,1
13843,4,2,5,1,2.0,3,9,2,3,2,3,1050,3,7,6,13,5,1
6349,3,2,8,1,2.0,5,1,21,3,6,3,345,3,32,6,13,5,1
4409,0,3,8,0,0.0,5,1,10,2,6,2,155,2,5,29,13,5,1
17024,4,2,8,1,2.0,3,6,18,1,6,1,1530,3,7,6,13,5,1
13727,6,2,8,1,2.0,5,18,7,2,2,2,835,3,7,6,13,5,1
8855,3,0,8,5,0.0,3,15,18,1,0,1,175,0,13,29,13,5,1
12524,6,2,8,1,2.0,6,24,8,2,1,2,615,3,7,6,13,5,1
13555,4,0,8,5,2.0,3,18,11,2,1,2,520,0,7,8,13,5,1
10844,4,3,5,0,2.0,6,6,6,2,4,2,330,2,7,3,13,5,1
13587,6,2,8,1,2.0,6,9,9,2,3,2,720,3,7,6,13,5,1
3543,8,1,7,4,0.0,6,12,9,2,6,2,135,4,8,29,13,5,1
4842,10,1,8,4,0.0,3,18,7,2,1,2,135,4,8,29,13,5,1
3943,3,0,8,2,0.0,4,24,23,3,6,3,170,0,13,29,13,5,1
10577,4,2,5,1,2.0,6,9,19,1,3,1,550,3,7,6,13,5,1
6979,3,2,8,1,2.0,5,15,10,2,6,2,625,3,7,6,13,5,1
11982,10,1,8,4,0.0,6,27,17,1,4,1,140,4,8,29,13,5,1
5264,8,2,8,1,2.0,6,6,8,2,4,2,270,3,37,6,13,5,1
8001,10,2,8,1,0.0,3,3,6,2,3,2,190,3,10,29,13,5,1
10651,1,2,8,1,1.0,6,1,19,1,2,1,1410,3,0,4,5,5,1
10844,4,3,5,0,2.0,5,24,16,1,0,1,1640,2,7,3,13,5,1
6601,6,2,8,1,2.0,3,27,9,2,6,2,755,3,20,6,13,5,1
6587,1,2,8,1,2.0,3,21,19,1,4,1,1455,3,7,6,13,5,1
3173,8,4,8,3,0.0,3,21,13,0,4,0,80,1,19,29,13,5,1
5228,1,0,8,2,0.0,5,9,10,2,4,2,165,0,13,29,13,5,1
5769,4,0,5,2,0.0,6,21,7,2,0,2,180,0,13,29,13,5,1
14714,4,2,8,1,2.0,6,6,8,2,4,2,660,3,7,6,13,5,1
13014,4,2,8,1,1.0,6,3,5,2,1,2,810,3,28,4,5,5,1
3359,3,0,8,2,0.0,6,3,22,3,1,3,170,0,13,29,13,5,1
6722,2,0,8,5,0.0,3,3,20,1,3,1,175,0,13,29,13,5,1
4462,3,3,8,0,0.0,3,18,9,2,1,2,165,2,5,29,13,5,1
6171,3,2,8,1,2.0,3,9,4,3,2,3,675,3,20,6,13,5,1
12303,1,3,8,0,1.0,5,21,5,2,5,2,875,2,25,9,3,5,1
7695,6,2,8,1,2.0,3,21,11,2,4,2,835,3,7,6,13,5,1
5684,3,2,8,1,2.0,6,24,11,2,1,2,845,3,7,6,13,5,1
8366,1,3,8,0,2.0,6,12,16,1,6,1,905,2,7,3,13,5,1
19630,1,1,8,4,0.0,3,1,11,2,0,2,135,4,8,29,13,5,1
13502,4,0,5,5,2.0,3,6,14,0,6,0,900,0,7,8,13,5,1
14781,4,3,8,0,2.0,5,1,21,3,6,3,775,2,7,3,13,5,1
6513,6,2,8,1,2.0,6,12,7,2,6,2,540,3,20,6,13,5,1
9929,1,2,8,1,2.0,6,1,7,2,2,2,735,3,7,6,13,5,1
18275,6,2,8,1,1.0,6,6,17,1,4,1,460,3,26,4,5,5,1
4487,1,2,8,1,2.0,4,9,6,2,5,2,1640,3,33,6,13,5,1
2754,3,4,8,3,0.0,3,15,21,3,0,3,85,1,19,29,13,5,1
2575,1,4,8,3,0.0,3,27,6,2,6,2,80,1,19,29,13,5,1
8224,8,3,8,0,2.0,6,12,15,0,6,0,330,2,23,3,13,5,1
8991,1,2,8,1,2.0,3,9,20,1,2,1,705,3,6,6,13,5,1
5000,3,2,8,1,0.0,6,24,5,2,1,2,195,3,10,29,13,5,1
8529,4,3,5,0,2.0,6,12,18,1,6,1,1495,2,7,3,13,5,1
14042,1,2,8,1,2.0,3,3,6,2,3,2,1640,3,33,6,13,5,1
4030,4,0,5,2,0.0,5,24,11,2,0,2,175,0,13,29,13,5,1
10844,4,3,5,0,2.0,6,6,18,1,4,1,1025,2,7,3,13,5,1
4804,3,3,8,0,0.0,5,6,21,3,1,3,160,2,5,29,13,5,1
7308,6,2,5,1,2.0,5,27,17,1,1,1,480,3,7,6,13,5,1
4823,3,0,8,2,0.0,5,12,16,1,3,1,180,0,13,29,13,5,1
10262,4,2,5,1,2.0,6,24,9,2,1,2,1655,3,7,6,13,5,1
12898,4,2,5,1,2.0,5,27,20,1,1,1,450,3,7,6,13,5,1
12778,1,0,8,5,1.0,3,12,17,1,5,1,1375,0,7,21,6,5,1
14871,3,2,8,1,2.0,3,3,4,3,3,3,515,3,7,6,13,5,1
8708,1,2,8,1,1.0,3,21,13,0,4,0,1795,3,41,4,5,5,1
10844,4,3,5,0,2.0,6,6,20,1,4,1,1335,2,7,3,13,5,1
4129,8,4,8,3,0.0,3,6,5,2,6,2,80,1,19,29,13,5,1
4804,3,3,8,0,0.0,5,18,21,3,2,3,160,2,5,29,13,5,1
7229,4,0,8,2,0.0,5,6,8,2,1,2,180,0,13,29,13,5,1
7832,4,0,5,5,2.0,3,21,7,2,4,2,730,0,7,8,13,5,1
3859,8,1,8,4,0.0,3,18,9,2,1,2,155,4,8,29,13,5,1
9001,6,2,8,1,2.0,6,6,7,2,4,2,705,3,7,6,13,5,1
4878,10,0,8,2,0.0,5,9,17,1,4,1,155,0,13,29,13,5,1
2754,3,4,8,3,0.0,5,3,2,3,0,3,90,1,19,29,13,5,1
4668,10,0,8,2,0.0,6,27,7,2,4,2,160,0,13,29,13,5,1
5216,0,3,8,0,0.0,5,12,10,2,3,2,155,2,5,29,13,5,1
10368,4,2,5,1,1.0,6,6,5,2,4,2,1375,3,28,4,5,5,1
8146,3,2,8,1,1.0,3,9,6,2,2,2,880,3,20,22,5,5,1
12242,4,2,8,1,2.0,3,27,13,0,6,0,925,3,7,6,13,5,1
9134,4,0,5,5,2.0,3,15,8,2,0,2,435,0,7,8,13,5,1
10939,1,2,8,1,1.0,6,6,13,0,4,0,1210,3,20,22,5,5,1
11753,1,2,8,1,1.0,6,6,10,2,4,2,1245,3,16,4,5,5,1
4174,8,3,8,0,0.0,4,24,17,1,6,1,150,2,5,29,13,5,1
10844,4,3,5,0,2.0,5,21,20,1,5,1,1430,2,7,3,13,5,1
14714,4,2,8,1,2.0,6,3,16,1,1,1,1620,3,7,6,13,5,1
9899,4,3,5,0,2.0,6,12,6,2,6,2,330,2,7,3,13,5,1
14871,3,2,8,1,2.0,3,3,9,2,3,2,710,3,7,6,13,5,1
7295,3,1,8,4,0.0,3,6,13,0,6,0,135,4,8,29,13,5,1
13465,1,2,8,1,1.0,6,6,18,1,4,1,1470,3,28,4,5,5,1
3543,8,1,7,4,0.0,5,21,17,1,5,1,140,4,8,29,13,5,1
7198,6,2,8,1,2.0,6,27,19,1,4,1,390,3,7,6,13,5,1
10262,4,2,5,1,2.0,6,1,8,2,2,2,1225,3,7,6,13,5,1
4148,3,3,8,0,0.0,3,15,15,0,0,0,155,2,5,29,13,5,1
8016,4,0,8,2,0.0,6,27,15,0,4,0,175,0,13,29,13,5,1
10262,4,2,5,1,2.0,6,9,22,3,3,3,335,3,7,6,13,5,1
3841,8,3,7,0,0.0,6,15,14,0,2,0,150,2,5,29,13,5,1
11507,4,0,8,5,2.0,3,12,9,2,5,2,885,0,33,8,13,5,1
14781,4,3,8,0,2.0,5,1,8,2,6,2,740,2,7,3,13,5,1
16079,4,2,8,1,2.0,5,27,17,1,1,1,1530,3,7,6,13,5,1
12898,4,2,5,1,2.0,5,27,22,3,1,3,335,3,7,6,13,5,1
15353,6,2,8,1,2.0,3,6,7,2,6,2,705,3,7,6,13,5,1
7303,3,0,8,5,0.0,3,24,18,1,3,1,175,0,13,29,13,5,1
6197,8,3,8,0,2.0,3,24,15,0,3,0,340,2,33,3,13,5,1
8996,1,3,8,0,2.0,6,9,9,2,3,2,245,2,2,3,13,5,1
6528,3,2,8,1,2.0,3,21,14,0,4,0,480,3,20,6,13,5,1
